Organization,Account,Report_Year_End,Report_Month_End,Incentive,Have_Target,Scope3,Savings_Proj_10,Invest_10,Year_MWh,Year_Scope1,Year_Scope2,CDP_Report,Savings_Proj,Savings_Real,Invest,Intensity_FTE,Intensity_Rev
Carnival Corporation,2870,2016,11,1,1,54100,,,0,10484086,47759,2017,80400,130000,64000000,,0.000643
Cargill,2802,2016,12,0,1,50767,,,3152052,8446834,5372981,2017,0,4125,2589000,,0.00012
Cardinal Health Inc.,2825,2016,12,1,0,21000,,,0,147000,217000,2017,2350,2350,665000,,2.00E-06
Capital One Financial,2695,2016,12,1,1,213344.11,,,2148.8,13061,178720,2017,1944.39,1944.39,5845801,,7.48E-06
Campbell Soup Company,2611,2016,7,1,1,8443,,,0,409378,310914,2017,59628,59628,3068922,,9.05E-05
California Resources Corp,59242,2016,12,1,0,22415632,,,0,3532593,402909,2017,211570,29000,200000,,0.00254
Cal Development,35964,2017,1,0,0,0,,,0,0,0,2017,0,0,0,,
Caesars Entertainment,8054,2016,12,1,1,2061773,,,344528,234104,667980,2017,25865,5969.5,3138900,,0.000115955
Cabot Corporation,2555,2016,12,1,1,0,,,32900,4503800,333800,2017,265045,55045,35000,,0.002
CA Technologies,2519,2016,12,1,1,30553,,,0,13245,47285,2017,203.56,186,20851,,1.50E-05
"CBRE Group, Inc.",2885,2016,12,0,1,16965,,,18552,63414,29678,2017,609,609,0,,7.10E-06
"C.H. Robinson Worldwide, Inc.",2523,2016,12,,0,0,,,0,507,0,2017,0,0,0,,
BROADRIDGE FINANCIAL SOLUTIONS INC,2326,2017,4,1,1,60953,,,0,11614,59037,2017,2000,2350,13150000,,18.59
Bristol-Myers Squibb,2191,2016,12,1,1,184376386,,,0,230118,170002,2017,30100,9900,5065000,,2.06E-05
Boston Scientific Corporation,2095,2016,12,0,1,0,,,0,30704.4,90862.5,2017,2952,2952.37,4869666,,0.1215669
BorgWarner,2055,2016,12,1,1,31407.26,,,0,57551,275967,2017,1202.68,931.27,588029,,3.68E-05
Boeing Company,2017,2016,12,1,1,244000,,,0,593000,1074000,2017,72000,73300,10467000,,1.76E-05
BNY Mellon,1464,2016,12,1,1,208140,,,14783,9011,170087,2017,243509,197151,18293749,,1.18E-05
BlackRock,1875,2016,12,1,1,44337.17,,,0,4280.93,26086.8,2017,11873.4,11666.1,824004,,2.72E-06
Biogen Inc.,1857,2016,12,1,1,259805,,,452,61937,55137,2017,566580,553496,1723000,,1.02E-05
"Best Buy Co., Inc.",1693,2016,12,1,1,3232888,,,534,210542,467786,2017,35588,13432,43339481,,0.017216447
Brown-Forman Corporation,2354,2016,12,1,1,6121,,,0,94202,79559,2017,1348,665,350000,,4.33E-05
Celanese Corporation,28949,2016,12,1,1,0,,,2890494,1916926.82,1127038.02,2017,0,0,0,,0.0006
Celgene Corporation,2982,2016,12,1,1,32445.28,,,142.33,18811.1,39545.64,2017,750,864,350000,,5.20E-06
CenturyLink,31497,2016,12,1,1,82802261,,,42999,254587,1894915,2017,43164,14553,8660,,0.000134
Covanta Energy Corporation,3989,2016,12,1,1,118055,,,0,4378546,33845,2017,0,0,0,,2.6
Costco Wholesale Corporation,3944,2016,12,0,0,0,,,0,785682,1315361,2017,25000,25559,0,,0.019
Corning Incorporated,23254,2015,12,1,0,0,,,0,501976.34,1751803.67,2017,4432,4432,700000,,247.37
"Constellation Brands, Inc.",3795,2017,2,1,1,597752,,,0,237576,66267,2017,294,71,100100,,0.0004
CNX Resources,3768,2016,12,1,1,20152789.47,,,474434,970205.01,599018.43,2017,202973,202974.11,0,,197.72
ConocoPhillips,3751,2016,12,1,1,223816670,,,0,25309218,1489410,2017,913000,113870,3500000,,0.001100108
Conagra Brands Inc,3732,2016,5,1,1,319000,,,0,416854,402565,2017,26108,2011,578000,,7.04E-05
Compatico,44653,2016,12,0,1,0,,,83.16,112.87,186.42,2017,0,53,327,,2.58E-05
"CommScope, Inc.",3654,2016,12,0,0,0,,,371.8,110724.31,125087.58,2017,11400,10400,0,,4.79E-05
Comerica Incorporated,3640,2016,12,1,1,45191,,,33344,6608,56723,2017,12329,3183,5265397,,2.14E-05
Comcast Corporation,3635,2016,12,1,1,0,,,0,364556,1380854,2017,6674,6674,625000,,2.17E-05
Colgate Palmolive Company,3551,2016,12,1,1,54685000,,,54874,209757,431330,2017,18131,5653,1659900,,4.22E-05
Cognizant Technology Solutions Corp.,3588,2016,12,1,1,138155,,,0,34385,220592,2017,520279,1728,240000,,1.89E-05
Tapestry Inc,3546,2016,7,1,1,25877,,,95963.03,465,47672,2017,1698,1698,0,,1.07E-05
CMS Energy Corporation,3538,2016,12,0,1,15303153,,,0,13138559,38241,2017,1218368,1309003,1685516016,,0.00206
Clorox Company,3507,2016,12,1,1,152164,,,0,76900,225963,2017,27564,27564,2590000,,51
Citigroup Inc.,3398,2016,12,1,1,8226622,,,140430.14,24276.37,764276.87,2017,63671,26993,83839889,,9.57E-06
"Cisco Systems, Inc.",3329,2016,7,1,1,35296126,,,0,53123,731622,2017,535704,510210,14215678,,1.59E-05
Cincinnati Financial Corporation,3358,2016,12,1,0,0,,,11606.9,16734.47,17436.31,2017,0,0,0,,6.27
Cigna,3352,2016,12,1,1,24811,,,0,11247,65167,2017,5825,619,491000,,1.93E-06
"Church & Dwight Co., Inc",3323,2016,12,1,1,176077,,,68473,74621,129608,2017,1756,1756,675252,,5.85E-05
Chevron Corporation,3191,2016,12,0,0,364000000,,,5900000,60000000,4000000,2017,1943700,540,896000,,0.000562
Charles Schwab Corporation,3133,2016,12,0,1,15199,,,196,2510,48684,2017,7392,1747,292359,,6.85
Berry Plastics,1708,2016,9,1,1,5410500,,,0,141034,1421918,2017,35600,2840,487000,,0.00024
Bernhardt Residential a Division of Bernhardt Furniture Company,37734,2016,12,1,1,0,,,258461.5,4029.95,5004.1,2017,250,150,0,,2.99E-05
Bernhardt Design a Division of Bernhardt Furniture Company,35761,2016,12,1,1,0,,,380839.39,804.75,3015.71,2017,1317,1067,3000000,,3.35E-05
Bel Fuse Inc.,35800,2016,12,0,1,0,,,0,1138,22038,2017,4200,2700,11000,,0.00015
American Express,692,2016,12,1,1,2355882,,,21594,25438,127760,2017,51955,44871,4869328,,4.77E-06
"American Electric Power Company, Inc.",689,2016,12,1,1,8358472,,,0,99166569,11218113,2017,33681000,33687000,211400000,,0.006839
American Airlines Group Inc,660,2016,12,1,0,213500,,,0,41801000,394000,2017,0,0,0,,0.00105
Ameren Corporation,661,2016,12,1,1,898607,,,0,26795627,66397,2017,579576,847042.1,168152698,,0.00442
"Altria Group, Inc.",628,2016,12,1,1,2873325,,,0,170442,210416,2017,82113,82113,41800000,,1.47E-05
"Alphabet, Inc.",7616,2016,12,1,1,1292267,,,0,66218,2902554,2017,653,431,11796107,,3.29E-05
Alliance Data Systems,40183,2016,12,0,1,100749,,,632,1956,46114,2017,0,0,75000,,6.77E-06
Allergan plc,533,2016,12,1,1,302493,,,8624,85464,77667,2017,19246,8260,1306989,,11.19636239
Alcoa Corp.,511,2016,12,1,1,4516933,,,3665245,17580658,8074409,2017,121903,121903,0,,0.003
Akamai Technologies Inc,454,2016,12,1,1,94715,,,4749,0,108382,2017,84207,84207,2648800,,4.67E-05
AIS,41796,2016,12,,1,0,,,0,1783,2095,2017,200,200,0,,3878
"Air Products & Chemicals, Inc.",435,2016,12,1,1,11472379,,,11456667,15386624,14950174,2017,157500,142500,7186000,,30268475
Agilent Technologies Inc.,391,2016,10,1,1,538500,,,4728,7993,51982,2017,4300,400,415000,,1.43E-05
AFLAC Incorporated,362,2016,12,1,1,13008,,,0,4423,13656,2017,761,469,389726,,2.93E-06
"Advanced Micro Devices, Inc",334,2016,12,1,1,712188,,,1.5,2574,66993,2017,20147,20147,157000,,0.016292037
"Adobe Systems, Inc.",333,2016,11,1,1,87932.8,,,0,11082,61875,2017,12139,333,500000,,1.25E-05
Actiontec Electronics,35762,2016,12,0,1,1682.36,,,0,0,388,2017,0,166,0,,
Abercrombie & Fitch Co.,291,2016,12,1,0,96700,,,0,5887,88095,2017,16630,16125,10585000,,2.83E-05
AbbVie Inc,45103,2016,12,1,1,909243,,,252185,297395,336305,2017,9882,3504,335299,,2.47E-05
Abbott Laboratories,64,2016,12,1,1,8031000,,,31000,485000,517000,2017,25893,0,0,,1002000
A Schulman Inc,59909,2016,12,0,1,0,,,148.2,0,96,2017,83,83,0,,3.42857
3M Company,285,2016,12,1,1,9127800,,,5707000,4140000,1840000,2017,318530,298273,22785900,,199
KeyCorp,10109,2016,12,1,1,37983,,,123.5,9996,50618,2017,1016,1004,6534415,,1.21E-05
"American International Group, Inc. (AIG)",699,2016,12,1,1,0,,,3183.43,582,12135,2017,0,80,750000,,
CREE INC.,34285,2016,12,1,1,3346,,,0,181882,174860,2017,2105.21,1105,169482000,,0.0002207
American Water Works,32490,2016,12,1,1,0,,,0,57902,575112,2017,3354,3354,600000,,0.00022
AmerisourceBergen Corp.,710,2016,12,1,0,12947,,,0,32942.18,85011.49,2017,2913,1583,0,,8.00E-07
"Becton, Dickinson and Co.",1639,2016,9,1,1,1697904,,,12543,72658,444505,2017,33020,18891,4592614,,4.14E-05
Baxter International Inc.,1574,2016,12,1,1,4449000,,,6944,290000,461000,2017,29000,16000,12000000,,7.39E-05
Bank of America,1452,2016,12,1,1,4543197,,,44996,83473,973299,2017,29200,616200,22500000,,1.26E-05
Ball Corporation,1328,2016,12,1,1,11172284,,,33807,448769,1045091,2017,34933,4368,1758000,,1493860
Baker Hughes Incorporated,1356,2016,12,1,1,145313,,,913000,275800,193000,2017,65593,52428,8335000,,4.70E-05
Axalta Coating Systems,51923,2016,12,1,1,1051814,,,0,96528,136902,2017,6651,1751,710000,,5.70E-05
"Avon Products, Inc.",1271,2016,12,1,1,9721,,,0,34949,76535,2017,700,245,195500,,1.96E-05
Avery Dennison Corporation,1227,2016,12,1,1,10405,,,0,152412,318463,2017,10014,4071,2500174,,7.74E-05
AvalonBay Communities,1219,2016,12,1,1,6184,,,2666.94,18748,63407,2017,2250.54,1942.5,1564728,,4.02E-05
"Automatic Data Processing, Inc.",1203,2016,12,1,1,82248.55,,,0,11481,111635,2017,9769.61,1054,3801500,,
"Autodesk, Inc.",1198,2017,1,1,1,153817,,,3243,1898,15764,2017,72000,33010,70000,,8.696208764
AT&T Inc.,1113,2016,12,1,1,4856441.23,,,51089,1140631,7737255,2017,1793698,910910.73,21589789,,5.42E-05
"Assurant, Inc.",1087,2016,12,1,1,7262,,,2748,748,30134,2017,1223,1223,10075795,,4.10E-06
Ashland Global Holdings Inc,1017,2016,12,0,1,0,,,532000,466000,667000,2017,0,1495,606600,,0.00038
Archer Daniels Midland,912,2016,12,1,1,700000,,,510000,14276000,3425000,2017,795000,1514000,110000000,,0.000284
AptarGroup,846,2016,12,1,1,22073.99,,,0,16051,181737,2017,1080,459,1176000,,84.85113685
Applied Materials Inc.,868,2016,12,1,0,11643,,,0,24635,0,2017,172,11,3000,,2.28E-06
Apple Inc.,865,2016,9,1,1,29583900,,,0,34320,0,2017,14732500,2379500,10000000,,1.59E-07
Anthem Inc,20595,2016,12,1,1,110748,,,815,7523,121378,2017,14000,6000,4050000,,1.50E-06
Anadarko Petroleum Corporation,745,2016,12,1,0,6255073,,,0,10222613,957627,2017,437468,264468,100000000,,1.32
Amtrak,44672,2016,9,1,1,158016,,,13680,754289,302758,2017,6309,3896,3081900,,0.00033
Amphenol Corporation,682,2016,12,0,0,0,,,0,1695,1040286,2017,0,0,0,,1
"Amgen, Inc.",716,2016,12,1,1,101871,,,19540,116643,198000,2017,9344,6706,2358279,,14.4
"Ameriprise Financial, Inc.",707,2016,12,0,0,0,,,0,1884.62,0,2017,0,0,0,,
Crown Holdings,4089,2016,12,1,1,0,,,0,530782,840930,2017,3085.02,2677.93,64182,,0.000165586
Allstate Insurance Company,582,2016,12,1,1,46239,,,0,56521,104350,2017,2606,2606,34850,,4.40E-06
CSX Corporation,4120,2016,12,1,1,4294344,,,0,4774800,229217,2017,250700,250700,122600000,,0.00045207
Honeywell International Inc.,8553,2016,12,1,1,7196191,,,600558,2699554,1518875,2017,59385,35285,14190240,,0.000107
"Hologic, Inc.",40310,2015,9,1,1,0,,,0,12168.86,35093.64,2017,870.18,155.15,92427,,8.5
"Hilton Worldwide, Inc.",8348,2016,12,1,1,4176190,,,735806,501607,1857239,2017,53331,48876,40602150,,0.000202
Hewlett Packard Enterprise Company,58859,2016,10,1,1,11665000,,,4000,115600,1412700,2017,6422,6333,500000,,3.05E-05
Hess Corporation,8274,2016,12,1,1,12591554,,,0,4073098,522442,2017,1178340,1178340,2202450000,,0.00096
Hertz Global Holdings,8272,2016,12,1,1,20913,,,10.6,2300620,130784,2017,0,0,0,,0.02763
Herman Miller,23634,2016,12,1,1,32083,,,0,25725,62340,2017,63670,63370,145535,,4
Henry Schein Inc.,40303,2016,12,0,0,0,,,0,0,0,2017,139,139,0,,
HCP Inc.,23217,2016,12,1,1,14179,,,10366,52257,307890,2017,10896,5782,5836073,,0.00025435
Hormel Foods,23197,2016,10,1,1,0,,,943,966795,527731,2017,59000,38080,3803000,,0.000157
"Hasbro, Inc.",8126,2016,12,1,1,561147,,,0,5221,8541,2017,125,25,0,,0.00274
Hanesbrands Inc.,30108,2016,12,1,1,959056,,,92752,103392,123885,2017,47958,40748,19100000,,0.0459
Halliburton Company,8027,2016,12,1,1,84142,,,0,1770698,205273,2017,8000,8000,0,,130
H.B. Fuller,7915,2016,12,1,1,33400,,,0,60705,69100,2017,2800,1300,7800000,,6.20E-05
Greif Inc,40299,2016,10,1,1,2927000,,,0,345700,446700,2017,1859,1739,1715702,,0.000238416
Goodyear Tire & Rubber Company,7619,2016,12,1,1,171649429,,,978265,1239035,1579885,2017,460785,171954,1041824,,0.00019
Goldman Sachs Group Inc.,7599,2016,12,1,1,1022424,,,14464,11520,210054,2017,3600,10600,120000,,7.24E-06
"Genworth Financial, Inc.",7271,2016,12,1,0,13278,,,22008,438,7700,2017,0,0,0,,1.56
General Motors Company,7164,2016,12,1,1,320894122,,,9644459,2003265,5799436,2017,9579710,9579710,8165868176,,4.69E-05
General Mills Inc.,7156,2016,5,1,1,13707923,,,7653,317016,676098,2017,45000,52758,400000,,5.60E-05
GGP,7172,2016,12,1,1,40971,,,5673,28933,457492,2017,70090,40090,62400000,,0.00014
Harman International Industries Inc,8103,2016,6,1,1,21991.65,,,0,15379.86,64960.08,2017,3538.6,1165.48,555575,,1.16E-05
"Host Hotels & Resorts, Inc.",8587,2016,12,1,1,0,,,60821,112108,352141,2017,46695,26019,60151832,,8.55E-05
HP Inc,58858,2016,10,1,1,40060000,,,0,66000,352400,2017,6494,3236,2572700,,8.67E-06
Humana Inc.,8644,2016,12,1,1,164002,,,0,16095,104228,2017,7632,362,96000,,2.21E-06
Kellogg Company,10056,2016,12,1,1,8682584,,,76101,546639,794827,2017,26512,13022,13127342,,0.000104
CSRA,59347,2017,3,0,0,16612.36,,,0,1082.48,31857.02,2017,2180,2180,0,,6.60E-06
"Juniper Networks, Inc.",9902,2016,12,1,1,531264,,,0,4469,109465,2017,3585,3530,400000,,2.30E-05
JPMorgan Chase & Co.,9871,2016,12,1,1,178635,,,30611,79556,906093,2017,34508,144610,0,,1.03E-05
Johnson & Johnson,9829,2016,12,1,1,735340,,,60077,452900,741791,2017,118121,19673,30905774,,1.66E-05
JLL,9843,2016,12,1,1,40547,,,0.02,18860,10512,2017,35,25,86031,,4.30E-06
jcpenney,22370,2016,12,1,1,167186,,,49,59506.73,707421.58,2017,12373,12373,4830000,,6.12E-05
Jacobs Engineering Group Inc.,22365,2016,9,1,1,9034.04,,,7503,4544.84,2045.18,2017,9688869,9688869,0,,6.20E-06
Jabil Inc.,9638,2016,8,1,1,0,,,55732,37234,1269168,2017,34212,0,0,,60.81
Invesco Ltd,9327,2016,12,1,1,0,,,1104,11082,2122,2017,0,118374,518786,,13204
Intuit Inc.,9366,2016,7,1,1,34208,,,0,3372,19494,2017,65000,72635,1367000,,4.87E-06
International Paper Company,9352,2016,12,1,1,1508808,,,1900000,9450000,4160000,2017,419000,134287,47851700000,,0.0006
International Flavors & Fragrances Inc.,9336,2016,12,1,1,1008309,,,69550,111110,136330,2017,16271,11560,4247000,,7.94E-05
International Business Machines (IBM),9284,2016,12,1,1,1274500,,,259715,133663,1485410,2017,124000,376600,5403005,,2.03E-05
Intel Corporation,9298,2016,12,1,1,6170000,,,0,976000,2439000,2017,2023190,1872722,12870933300,,5.75E-05
"Integrated Device Technology, Inc.",32533,2016,12,0,1,1.06,,,1554.2,562,12708,2017,309,309,110000,,2.30E-05
Ingredion Incorporated,3876,2016,12,1,1,2719890,,,541350,2796950,1010184,2017,209693,21650,2315000,,0.00066745
Illumina Inc,40319,2016,12,1,0,0,,,0,0,41720.71,2017,0,0,0,,1.74E-05
Idacorp Inc,8770,2016,12,0,1,0,,,0,4840193,234,2017,0,0,0,,0.017
Hyatt Hotels,33275,2016,12,1,1,393186,,,578542,273242,1306885,2017,26873,15289,22024008,,0.00016
Huntington Bancshares Incorporated,8670,2016,12,1,0,5976,,,5421,10825,69799,2017,19595,19570,451462,,2.26E-05
Humanscale Corporation,41697,2016,12,0,1,0,,,0,449.6,947.1,2017,0,171.8,0,,654
General Electric Company,7166,2016,12,1,1,8000000,,,176854,1621000,0,2017,77950,75000,8000000,,1.31E-05
General Cable Corp,7151,2016,12,0,0,0,,,0,55841,0,2017,0,0,0,,
Iron Mountain Inc.,30131,2016,12,1,1,640979.98,,,285817,167279,159778,2017,12000000,6000000,3000000,,8.19E-05
GameStop Corp.,7055,2016,12,0,0,0,,,23429.8,4314,90297,2017,3700,2200,1120000,,1.01E-05
eBay Inc.,5197,2016,12,0,1,406614,,,310.4,26471,170635,2017,29480,28466,15000,,2.20E-05
Eaton Corporation,5194,2016,9,1,1,67568500,,,0,152714,806165,2017,9266,4106,1080000,,4.86E-05
Eastman Chemical Company,5169,2016,12,1,1,8411419,,,3905472,5655100,2008160,2017,309100,286000,46181000,,0.0009
E.I. du Pont de Nemours and Company,5115,2016,12,1,1,2065341,,,2875237,4068250,2876391,2017,146700,35500,5629000,,0.000282
"DW Morgan, LLC",30498,2016,12,0,1,0,,,952.45,2535.98,171.2,2017,709,135,9500,,
Dunkin' Brands Group,40271,2016,12,1,1,890,,,1249,2656,2565,2017,463,293,322750,,6.29E-06
Duke Energy Corporation,5052,2016,12,0,1,16640509,,,0,96837200,0,2017,2150000,2020000,0,,0.00425789
DTE Energy Company,5021,2016,12,1,1,17369000,,,0,32000000,2100000,2017,3005,3005,1781000,,3210
Dr Pepper Snapple Group Inc,4895,2016,12,1,1,156776,,,0,241976,154480,2017,8512,2785,818330,,6.16E-05
Dover Corporation,4822,2016,12,1,1,41689,,,100,105602,0,2017,3429,1561.77,258795,,0.015542638
Diebold Nixdorf,4719,2016,12,1,1,0,,,22381.08,100794,31285,2017,46280,35285,1927409,,3.00E-05
Devon Energy Corporation,4678,2016,12,1,1,0,,,0,5381100,571610,2017,58700,58650,3918000,,0.0005
Dentsply Sirona Inc.,4562,2016,12,0,0,11246,,,13476,6604,75605,2017,1695,835,139842,,2.20E-05
Delta Air Lines,4408,2016,12,1,1,4291817.09,,,0,35436857.47,296045.7,2017,89202,89202,0,,0.000901
Deere & Company,4365,2016,10,1,1,1076886.76,,,81068,323717,789848,2017,10596,10595.68,5407051,,4.18E-05
DaVita Inc.,4357,2016,12,1,1,19370,,,0,31047.8,259482.79,2017,29131,3393,1614600,,1.97E-05
"Davies Office Refurbising, Inc.",35313,2016,12,0,1,0,,,2448.92,820.64,227.54,2017,0,0,0,,29.78
"D.R. Horton, Inc.",23242,2016,9,,,0,,,0,0,0,2017,0,0,0,,
Cypress Semiconductor Corporation,4109,2016,12,0,0,0,,,0,110166,261034,2017,1392,1022,24216,,0.000191109
Cummins Inc.,4136,2016,12,1,1,804503800,,,10823,303885,535703,2017,19327,19327,17395000,,4.97E-05
Gap Inc.,7060,2016,12,1,1,5015176,,,8476,23810,422072,2017,7580,2368,247405,,2.87E-05
CVS Health,4151,2016,12,1,1,2609590,,,1768,198055,1285716,2017,19953,94557,59059800,,8.00E-06
Ecolab Inc.,5154,2016,12,1,1,5655277,,,127552,441129,257755,2017,780,624.65,211674,,52.7
"Ecova, Inc.",37523,2016,12,1,1,2199,,,0,117,1911,2017,1367,911,111226,,1.16E-05
Dean Foods Company,4392,2016,12,1,1,5615741,,,0,529413,436193,2017,63000,10000,0,,125.3
Eli Lilly & Co.,5377,2016,12,1,1,299211,,,655444,475276,1040551,2017,31300,12114,2369000,,7.14E-05
Forest City Realty Trust,40284,2016,12,1,0,7068,,,18696,50353,178597,2017,7267,4061,4536824,,0.000246319
Edwards Lifesciences Corp,36602,2016,1,1,1,41385,,,76379,0,0,2017,7500,7500,2700000,,0.0157
Freeport-McMoRan Inc.,23228,2016,12,0,0,548127,,,0,5418730,4923748,2017,12718,12718,718652,,0.000724
Ford Motor Company,6595,2016,12,1,1,147035685,,,758349,1304409,3486767,2017,78543,145798,16116000,,3.04E-05
FMC Corp,23227,2016,12,1,1,149643,,,34325,273146,66036,2017,11261,2565,0,,0.103
"Franklin Resources, Inc.",6684,2016,12,1,0,11882,,,0,8206,26495,2017,657,554,222140,,5.40E-06
Flextronics International,6550,2016,12,1,1,37829,,,6044,60563,968621,2017,38385,32708,12815694,,4.30E-05
FirstEnergy Corporation,6383,2016,12,1,1,13383,,,0,46436264,22311346,2017,4,4,0,,0.005
First Solar Inc,6419,2016,12,1,1,733980,,,0,14730,478205,2017,7106,1408,1000,,0.000167021
Fifth Third Bancorp,6285,2016,12,1,1,6432,,,395,11421,119315,2017,3215.27,2261,2884877,,1.99E-05
Fidelity National Financial Inc,40282,2016,12,0,0,0,,,0,0,0,2017,0,0,0,,0
FedEx Corporation,6287,2016,5,1,1,2400675,,,0,13759865,958526,2017,16090.32,13876.5,0,,0.000292235
Fluor Corporation,6559,2016,12,0,0,30966,,,0,8030,56576,2017,12000000,12000000,0,,
Exxon Mobil Corporation,6136,2016,12,1,0,275846472,,,0,120000000,8000000,2017,1100000,12300000,0,,0.00057
Emerson Electric Co.,5521,2016,12,0,0,0,,,0,175499,604155,2017,1298.03,0,0,,3.86E-05
Farmer Brothers,57973,2016,6,1,1,373163,,,0,36562,0,2017,2784,2784,351000,,6.72E-05
"EOG Resources, Inc.",5767,2016,12,0,1,0,,,0,4836507.87,0,2017,0,0,0,,0.000660436
"EQUINIX, INC.",33267,2016,12,1,1,10024,,,26703,9377,1526837,2017,813590,805927,22400000,,0.00042531
Eversource Energy,13483,2016,12,1,1,20283095,,,435859.93,852585,684892,2017,7414406,926406,1866250000,,0.0002
Estee Lauder Companies Inc.,5885,2016,6,1,1,168242,,,85274,29860.57,60114.78,2017,1711,396,374729,,8.00E-06
Exelon Corporation,6113,2016,12,1,1,112974412,,,3029,9723299,7061329,2017,12114615,4652157.6,599776810,,0.000535224
Expeditors International of Washington,6128,2016,12,1,1,27.26,,,0,5414,42536,2017,571.47,396.47,12000,,7.85E-06
Express Scripts Holding Company,11623,2016,12,1,0,14461,,,0,29408,28253,2017,1570.93,1570.93,289434,,5.75E-06
Energen Corp.,40269,2016,12,,0,0,,,0,0,0,2017,0,0,0,,
OGE Energy Corp.,13813,2017,12,1,0,0,,,2,15205143,183982,2018,1400000,1406245,0,,0.0068
Northrop Grumman Corp,13488,2017,12,1,1,1274444,,,3541524,140537,370677,2018,4122,4122,4001000,,1.98E-05
Occidental Petroleum Corporation,13649,2017,12,1,0,63000000,,,127800000,11300000,4200000,2018,222900,222900,0,,0.00124
NVIDIA Corporation,13604,2018,1,1,1,327371,,,308178,2356,51230,2018,1368,1413,1643800,,5.52E-06
NRG Energy Inc,13562,2017,12,1,1,7215100,,,172208759,51000000,229000,2018,1259200,1259200,300001000,,0.00482
Omnicom Group Inc.,13884,2017,12,0,0,158827,,,351928,0,0,2018,5000,5000,0,,6.63E-06
OFS Brands,52854,2017,12,1,1,0,,,147417.88,34349.2,15398.55,2018,13250,13250,10570000,,0.143566
News Corp,50074,2017,6,1,1,679477,,,888117.12,28356.31,173658.31,2018,5064,3294,1428819,,2.48E-05
"Nordstrom, Inc.",13439,2017,12,1,1,8155,,,1620946,47957,208888,2018,21447,15983,7746000,,1.70E-05
NiSource Inc.,13314,2017,12,1,1,3401572,,,68801584,12033952,48849,2018,258389,258388.84,20020700000,,0.002478727
NIKE Inc.,13279,2017,5,0,1,16632333,,,1403894,26339,289556,2018,1481000,421856,1500000,,9.20E-06
Newmont Mining Corporation,13117,2017,12,1,1,2386563,,,24584722,3083909,1602450,2018,187210,32600,960000,,0.000638
NetApp Inc.,13024,2017,12,1,1,63395.01,,,86866,5748,97065,2018,29462,14731,0,,1.70E-05
Navistar International Corporation,12893,2017,12,0,1,50000000,,,1272800,77503,145869,2018,7700,1666,3800,,26.1
Morgan Stanley,12406,2017,12,1,1,1883970,,,1366780,29450,209300,2018,28960,23060,634533,,6.29E-06
National Office Furniture,35323,2017,12,1,0,0,,,,2837.98,19292.57,2018,,0,0,,912750
Motorola Solutions,32491,2017,12,1,1,23307,,,316222,10650,87600,2018,0,0,0,,15.35
Norfolk Southern Corp.,13425,2017,12,1,1,10310690.93,,,40083094.13,4872474,228814,2018,4600000,2300000,0,,0.00048349
Oneok Inc.,13849,2017,12,1,0,49600000,,,3612549,2900000,2100000,2018,238722,28546,0,,0.00041
Philip Morris International,14712,2017,12,1,1,4519400,,,4930559,388384,438896,2018,134714,60732,24539147,,2.88E-05
Ormat Technologies Inc,14061,2017,12,1,0,0,,,7141.08,12154.68,2007.96,2018,,0,0,,
"Prudential Financial, Inc.",15306,2017,12,1,0,27810.18,,,429680.99,13572.16,57054.79,2018,3800,3800,607500,,1.32E-06
Moody's Corporation,12379,2017,12,0,0,7840.76,,,81005,157,16938,2018,3486,1643,0,,4.07E-06
Prologis,15169,2017,12,1,1,6800,,,40478,2772,3533,2018,5.5,5.5,1000,,2.41E-06
Procter & Gamble Company,15132,2017,6,1,1,210173353,,,34153834,2174000,2750000,2018,234700,218700,600000,,7.56E-05
"Principal Financial Group, Inc.",15097,2017,12,1,1,13675,,,189893,6067,36784,2018,1127,998,342136,,3.04E-06
"Praxair, Inc.",15027,2017,12,1,1,3010000,,,58885800,8820000,12836000,2018,491690,362300,42500000,,0.00189
PPL Corporation,14928,2017,12,1,1,2055449.61,,,3836431,28587423,504517,2018,,919886,101182010,,0.00391
Port of Tacoma,831379,2016,12,1,1,26339,,,50730,3260,0,2018,0,22,0,,3.11E-05
"PNC Financial Services Group, Inc.",14830,2017,12,1,1,152040,,,1246912,37123,235769,2018,10921,8978,17558520,,2.20E-05
Pitney Bowes Inc.,14821,2017,12,1,1,22523,,,452645,27273,48723,2018,1068,1022.56,48978,,0.02140765
Pinnacle Foods Group,29936,2017,12,1,1,123969,,,1469596,81461,174353,2018,8998.61,314.5,155176,,8.00E-05
PG&E Corporation,14678,2017,12,1,1,42594024,,,28444954,4281599,650527,2018,402677,396380,0,,0.000287789
Pfizer Inc.,14683,2017,12,1,1,8653964,,,11421194,795307,912366,2018,223464,60071,12423053,,3.25E-05
"PepsiCo, Inc.",14605,2017,12,1,1,62817980,,,46718640,3734520,1746370,2018,514000,84230,84110000,,8.63E-05
Parker-Hannifin Corporation,14360,2017,12,0,1,22507.63,,,2729374,67943,534049,2018,119297,15795.64,9414057,,0.0449
Packaging Corporation Of America,28617,2017,12,0,1,129031,,,60654826,1556087,1339876,2018,5062,62,857000,,0.000449
PACCAR Inc,14169,2017,12,1,1,152078047,,,1773402,109976,165487,2018,17156093,17153628,185018525,,1.30E-05
Owens Corning,14132,2017,12,1,1,3939247.44,,,18380529.82,2498946,1384510,2018,45736,14492,2637032,,608.3107769
